stroke_number,interval,async_ms,spm,speed_m_s,v_rel,empirical_speed_loss_pct,theory_k048_pct,theory_k093_pct
276,11. 2026-02-14 07:40,128.1,26.2,3.31,1.0718209932690557,7.182099326905567,-1.6764762992371502,-3.275630840438206
277,11. 2026-02-14 07:40,102.0,26.5,2.9,0.9390576678188102,-6.094233218118983,-1.3501842658818604,-2.6380958821842637
278,11. 2026-02-14 07:40,71.3,27.0,3.17,1.0264871748226303,2.64871748226303,-0.961612922770688,-1.8788747254135878
279,11. 2026-02-14 07:40,52.4,26.7,2.88,0.9325814080407494,-6.741859195925059,-0.6988589725157207,-1.3654854557330225
280,11. 2026-02-14 07:40,54.5,26.2,3.07,0.9941058759323266,-0.5894124067673423,-0.7132549438596776,-1.3936134332855754
281,11. 2026-02-14 07:40,156.5,26.8,2.99,0.9682008368200836,-3.179916317991638,-2.095058397322124,-4.093489363321215
282,11. 2026-02-14 07:40,40.6,26.1,3.05,0.9876296161542658,-1.237038384573419,-0.5293141913371707,-1.0342155688181198
283,11. 2026-02-14 07:40,53.4,25.9,2.99,0.9682008368200836,-3.179916317991638,-0.6908567705403498,-1.3498501260872244
284,11. 2026-02-14 07:40,64.4,26.1,3.01,0.9746770965981444,-2.532290340185561,-0.839601820741719,-1.6404798677804657
285,11. 2026-02-14 07:40,67.9,25.5,3.01,0.9746770965981444,-2.532290340185561,-0.8648821854092296,-1.6898746264180335
286,11. 2026-02-14 07:40,64.7,27.4,2.82,0.9131526287065672,-8.68473712934328,-0.8855270672845152,-1.7302122153232038
287,11. 2026-02-14 07:40,85.3,26.2,2.85,0.9228670183736584,-7.713298162634164,-1.116342141490468,-2.181196804757057
288,11. 2026-02-14 07:40,86.4,25.9,3.0,0.971438966709114,-2.8561033290885995,-1.117790729863038,-2.1840271702984313
289,11. 2026-02-14 07:40,108.6,26.9,3.27,1.058868473712934,5.886847371293391,-1.4592479849394426,-2.851193127806207
290,11. 2026-02-14 07:40,114.9,28.3,2.97,0.9617245770420229,-3.8275422957977145,-1.6242521908398335,-3.1735912827310795
291,11. 2026-02-14 07:40,57.0,25.7,3.13,1.0135346552665088,1.3534655266508766,-0.7317369334407464,-1.4297249936410392
292,11. 2026-02-14 07:40,131.4,26.2,2.81,0.9099144988175368,-9.008550118246317,-1.7196642132690212,-3.360014773095865
293,11. 2026-02-14 07:40,97.5,27.0,3.1,1.0038202655994175,0.3820265599417505,-1.3149685830314457,-2.569288719885341
294,11. 2026-02-14 07:40,62.2,25.5,2.62,0.8483900309259595,-15.160996907404044,-0.7922779371495445,-1.548014753508125
295,11. 2026-02-14 07:40,173.9,26.5,3.0,0.971438966709114,-2.8561033290885995,-2.3019318023221134,-4.497694842272977
296,11. 2026-02-14 07:40,49.4,25.5,3.04,0.9843914862652356,-1.560851373476435,-0.6292368182506028,-1.229452231885874
297,11. 2026-02-14 07:40,80.5,24.8,2.8,0.9066763689285064,-9.332363107149355,-0.9972282162066394,-1.9484626782066836
298,11. 2026-02-14 07:40,221.5,26.7,3.23,1.0459159541568126,4.59159541568126,-2.9541462292410716,-5.772042527573751
299,11. 2026-02-14 07:40,195.5,27.9,3.81,1.2337274877205748,23.372748772057484,-2.7245699478502825,-5.323478388671831
300,11. 2026-02-14 07:40,24.2,26.0,3.34,1.081535382936147,8.153538293614693,-0.314293725524553,-0.6140917236664222
