interval,stroke_num,timestamp,spm,async_ms,speed_ms,run_id,run_mean_speed,v_rel,seat1_catch,seat2_catch,seat3_catch,seat4_catch
11. 2026-02-14 07:40,131,2026-02-14 04:13:45.648034573+00:00,24.6,141.1,3.84,88323414_2,3.136756756756757,1.224194382216095,2026-02-14 04:13:45.572939396+00:00,2026-02-14 04:13:45.648034573+00:00,2026-02-14 04:13:45.591131210+00:00,2026-02-14 04:13:45.714066744+00:00
11. 2026-02-14 07:40,132,2026-02-14 04:13:48.088046074+00:00,24.7,113.3,3.21,88323414_2,3.136756756756757,1.023349991383767,2026-02-14 04:13:48.103988171+00:00,2026-02-14 04:13:48.088046074+00:00,2026-02-14 04:13:47.990710735+00:00,2026-02-14 04:13:48.063288926+00:00
11. 2026-02-14 07:40,133,2026-02-14 04:13:50.512784243+00:00,25.2,120.4,3.07,88323414_2,3.136756756756757,0.9787179045321385,2026-02-14 04:13:50.434489727+00:00,2026-02-14 04:13:50.512784243+00:00,2026-02-14 04:13:50.392378569+00:00,2026-02-14 04:13:50.494629383+00:00
11. 2026-02-14 07:40,134,2026-02-14 04:13:52.890511513+00:00,25.4,88.5,3.5,88323414_2,3.136756756756757,1.1158021712907116,2026-02-14 04:13:52.880087852+00:00,2026-02-14 04:13:52.890511513+00:00,2026-02-14 04:13:52.802016973+00:00,2026-02-14 04:13:52.844015598+00:00
11. 2026-02-14 07:40,135,2026-02-14 04:13:55.252402782+00:00,25.5,86.4,2.97,88323414_2,3.136756756756757,0.946837842495261,2026-02-14 04:13:55.194190264+00:00,2026-02-14 04:13:55.252402782+00:00,2026-02-14 04:13:55.166031837+00:00,2026-02-14 04:13:55.208019018+00:00
11. 2026-02-14 07:40,136,2026-02-14 04:13:57.601426125+00:00,25.1,109.7,2.94,88323414_2,3.136756756756757,0.9372738238841978,2026-02-14 04:13:57.620866299+00:00,2026-02-14 04:13:57.601426125+00:00,2026-02-14 04:13:57.511209488+00:00,2026-02-14 04:13:57.555506229+00:00
11. 2026-02-14 07:40,137,2026-02-14 04:13:59.988614321+00:00,26.0,123.0,3.13,88323414_2,3.136756756756757,0.997845941754265,2026-02-14 04:13:59.981929541+00:00,2026-02-14 04:13:59.988614321+00:00,2026-02-14 04:13:59.865572453+00:00,2026-02-14 04:13:59.889083147+00:00
11. 2026-02-14 07:40,138,2026-02-14 04:14:02.299679041+00:00,25.0,55.6,2.88,88323414_2,3.136756756756757,0.9181457866620713,2026-02-14 04:14:02.332458496+00:00,2026-02-14 04:14:02.299679041+00:00,2026-02-14 04:14:02.279222488+00:00,2026-02-14 04:14:02.276839495+00:00
11. 2026-02-14 07:40,139,2026-02-14 04:14:04.696955442+00:00,26.0,145.2,3.26,88323414_2,3.136756756756757,1.0392900224022057,2026-02-14 04:14:04.629634619+00:00,2026-02-14 04:14:04.696955442+00:00,2026-02-14 04:14:04.551732302+00:00,2026-02-14 04:14:04.596659899+00:00
11. 2026-02-14 07:40,140,2026-02-14 04:14:07.008784771+00:00,25.6,65.9,3.17,88323414_2,3.136756756756757,1.010597966569016,2026-02-14 04:14:07.036540508+00:00,2026-02-14 04:14:07.008784771+00:00,2026-02-14 04:14:06.970665455+00:00,2026-02-14 04:14:06.981731176+00:00
11. 2026-02-14 07:40,141,2026-02-14 04:14:09.350990057+00:00,26.1,110.0,2.98,88323414_2,3.136756756756757,0.9500258486989488,2026-02-14 04:14:09.412322283+00:00,2026-02-14 04:14:09.350990057+00:00,2026-02-14 04:14:09.302340746+00:00,2026-02-14 04:14:09.323432684+00:00
11. 2026-02-14 07:40,142,2026-02-14 04:14:11.649737835+00:00,24.8,85.4,4.07,88323414_2,3.136756756756757,1.2975185249009134,2026-02-14 04:14:11.710203409+00:00,2026-02-14 04:14:11.649737835+00:00,2026-02-14 04:14:11.624783993+00:00,2026-02-14 04:14:11.635854006+00:00
11. 2026-02-14 07:40,143,2026-02-14 04:14:14.069884539+00:00,25.9,122.5,2.89,88323414_2,3.136756756756757,0.9213337928657591,2026-02-14 04:14:14.099836588+00:00,2026-02-14 04:14:14.069884539+00:00,2026-02-14 04:14:14.000762939+00:00,2026-02-14 04:14:13.977341890+00:00
11. 2026-02-14 07:40,144,2026-02-14 04:14:16.390312433+00:00,24.6,57.1,3.24,88323414_2,3.136756756756757,1.0329140099948302,2026-02-14 04:14:16.437234402+00:00,2026-02-14 04:14:16.390312433+00:00,2026-02-14 04:14:16.380130053+00:00,2026-02-14 04:14:16.390904188+00:00
11. 2026-02-14 07:40,145,2026-02-14 04:14:18.829077244+00:00,25.3,139.4,3.22,88323414_2,3.136756756756757,1.0265379975874547,2026-02-14 04:14:18.842655897+00:00,2026-02-14 04:14:18.829077244+00:00,2026-02-14 04:14:18.711693048+00:00,2026-02-14 04:14:18.703273296+00:00
11. 2026-02-14 07:40,146,2026-02-14 04:14:21.201145411+00:00,25.3,203.6,3.04,88323414_2,3.136756756756757,0.9691538859210753,2026-02-14 04:14:21.298121214+00:00,2026-02-14 04:14:21.201145411+00:00,2026-02-14 04:14:21.139152765+00:00,2026-02-14 04:14:21.094554663+00:00
